"X..Lot.SqFt","Age","Area..","Area.Name","Baths.Full","Baths.Half","Beds.Total","County","DOM","HOA.Fee","List.Price","Listing.Date","Lot.Size","MLS.Number","Parcel.Number","Postal.City","Price.SqFt","Sale.Date","Sale.Price","Sq.Ft.Total","Status","Street.Address","Year.Built","Zip.Code","Zoning","Elementary.School","Elementary.School.District","Elementary.School.District.Code","Elementary.School.ID","Middle.School","Middle.School.ID","High.School","High.School.District","High.School.District.ID","High.School.ID","propertyAddresses","latitude","longitude","latLongConf"
"$ 131.48",52,"14","Cambrian",2,0,3,"Santa Clara",8,NA,"$880,000","03/28/2017","6,693","ML81644150","567-43-036","San Jose","748.30","04/05/2017","","1,176","Pending","1278 Antwerp Lane",1965,95118,"R1-8","Los Alamitos Elementary","San Jose Unified","482","369","Castillero Middle","338","Pioneer High","San Jose Unified","482","348","1278 Antwerp Lane, San Jose, CA, 95118",37.242038,-121.885246,0.878
"$ 158.96",41,"11","South San Jose",3,0,6,"Santa Clara",7,NA,"$880,000","04/05/2017","5,536","ML81645525","499-15-023","San Jose","425.33","","","2,069","Active","2517 Zachary Way",1976,95121,"residential","","San Jose Unified","482","","","","","San Jose Unified","482","","2517 Zachary Way, San Jose, CA, 95121",37.313771,-121.83159,1
"$ 131.34",53,"999","Other Area",2,0,4,"Alameda",7,NA,"$880,000","04/05/2017","6,700","ML81645598","531-0014-063","Fremont","554.16","","","1,588","Active","4903 Cody Court",1964,94538,"1001","","Fremont Unified","1,307","","","","","Fremont Unified","1,307","","4903 Cody Court, Fremont, CA, 94538",37.532318,-121.986198,1
"$ 162.51",2,"1","Morgan Hill / Gilroy / San Martin",4,1,5,"Santa Clara",2,105,"$880,000","04/10/2017","5,415","ML81646112","810-83-001","Gilroy","292.55","","","3,008","Active","1700 Rosemary Drive",2015,95020,"A-20A","Las Animas Elementary","Gilroy Unified","478","273","Solorsano Middle","1,075","","Gilroy Unified","478","","1700 Rosemary Drive, Gilroy, CA, 95020",37.130389,-121.64236,0.561
"$ 144.28",53,"5","Berryessa",2,0,4,"Santa Clara",6,24,"$879,950","04/06/2017","6,099","ML81644955","092-20-079","San Jose","549.97","","","1,600","Active","3134 Terrywood Court",1964,95132,"R-1-8","","Berryessa Union Elementary","452","","","","","East Side Union High","474","","3134 Terrywood Court, San Jose, CA, 95132",37.414874,-121.873159,1
"$ 149.52",64,"9","Central San Jose",1,0,3,"Santa Clara",6,NA,"$879,900","04/06/2017","5,885","ML81645643","282-39-070","San Jose","710.17","","","1,239","Active","811 RICHMOND Avenue",1953,95128,"R1","","Campbell Union Elementary","454","","","","","Campbell Union High","473","","811 RICHMOND Avenue, San Jose, CA, 95128",37.312324,-121.922243,0.878
"$ 139.65",47,"5","Berryessa",2,0,3,"Santa Clara",9,NA,"$879,800","04/03/2017","6,300","ML81645143","092-33-045","San Jose","641.25","04/11/2017","","1,372","Pending","3656 Lisbon Court",1970,95132,"R-1-8","Laneview Elementary","Berryessa Union Elementary","452","30","Morrill Middle","32","Independence High","East Side Union High","474","246","3656 Lisbon Court, San Jose, CA, 95132",37.421497,-121.860196,1
"$ 352.30",73,"999","Other Area",2,0,4,"San Francisco",7,NA,"$879,000","04/05/2017","2,495","ML81645604","2381-024","San Francisco","663.40","","","1,325","Active","4340 Ulloa Street",1944,94116,"RH1","","San Francisco Unified","1,863","","","","","San Francisco Unified","1,863","","4340 Ulloa Street, San Francisco, CA, 94116",37.740057,-122.502696,1
"$ 149.12",28,"12","Blossom Valley",2,1,3,"Santa Clara",6,NA,"$858,000","03/10/2017","5,888","ML81641904","690-12-062","San Jose","465.29","03/15/2017","$878,000","1,887","Sold","123 Jaybee Place",1989,95123,"R1","George Miner Elementary","Oak Grove Elementary","467","187","Leonard Herman Intermediate","186","Oak Grove High","East Side Union High","474","249","123 Jaybee Place, San Jose, CA, 95123",37.258513,-121.819326,1
"$ 266.87",44,"680","Serramonte",2,0,3,"San Mateo",0,NA,"$878,000","04/12/2017","3,290","ML81646534","091-781-330","Daly City","708.06","","","1,240","Active","39 Amhurst Court",1973,94015,"R10003","","South San Francisco Unified","941","","","","","South San Francisco Unified","941","","39 Amhurst Court, Daly City, CA, 94015",37.650173,-122.461722,1
"$ 500.00",76,"999","Other Area",1,0,2,"San Francisco",2,NA,"$799,000","02/23/2017","1,750","ML81639916","2458-001F","San Francisco","1,029.41","02/24/2017","$875,000","850","Sold","2615 38th Avenue",1941,94116,"RH1","","San Francisco Unified","1,863","","","","","San Francisco Unified","1,863","","2615 38th Avenue, San Francisco, CA, 94116",37.738155,-122.495849,0.927
"$ 63.48",28,"27","Alameda County",2,1,4,"Alameda",24,NA,"$875,000","03/13/2017","13,784","ML81642094","081D-2086-042","Hayward","370.92","","","2,359","Withdrawn","27009 Fielding Drive",1989,94542,"R1","","Hayward Unified","1,368","","","","","Hayward Unified","1,368","","27009 Fielding Drive, Hayward, CA, 94542",37.654447,-122.044675,1
"$ 128.37",50,"27","Alameda County",2,0,4,"Alameda",13,NA,"$875,000","03/23/2017","6,816","ML81643640","543-0394-052","Fremont","630.86","04/03/2017","","1,387","Pending","4144 Sabio Court",1967,94536,"R1","","Fremont Unified","1,307","","","","","Fremont Unified","1,307","","4144 Sabio Court, Fremont, CA, 94536",37.565349,-122.026848,1
"$ 4.02",38,"1","Morgan Hill / Gilroy / San Martin",2,0,3,"Santa Clara",8,NA,"$850,000","03/24/2017","217,404","ML81643856","712-10-059","Morgan Hill","560.90","04/01/2017","$875,000","1,560","Sold","19955 Dougherty Avenue",1979,95037,"A-20A","","Morgan Hill Unified","480","","","","","Morgan Hill Unified","480","","19955 Dougherty Avenue, Morgan Hill, CA, 95037",37.160224,-121.686413,1
"$ 145.83",50,"12","Blossom Valley",2,0,3,"Santa Clara",12,NA,"$875,000","03/28/2017","6,000","ML81644143","687-13-036","San Jose","555.20","04/08/2017","","1,576","Pending","5992 Cahalan Avenue",1967,95123,"R1B6","Allen at Steinbeck","San Jose Unified","482","355","","","Gunderson High","San Jose Unified","482","345","5992 Cahalan Avenue, San Jose, CA, 95123",37.241043,-121.849889,1
"$ 163.37",64,"413","Parkside",1,0,3,"San Mateo",12,NA,"$875,000","03/30/2017","5,356","ML81644645","035-273-190","San Mateo","857.84","04/10/2017","","1,020","Pending","1675 Mckinley Street",1953,94403,"R106","","San Mateo-Foster City Elementary","938","","","","","San Mateo Union High","939","","1675 Mckinley Street, San Mateo, CA, 94403",37.559551,-122.29969,1
"$ 128.68",54,"14","Cambrian",2,0,3,"Santa Clara",1,NA,"$875,000","04/11/2017","6,800","ML81646320","569-31-032","San Jose","710.23","","","1,232","Active","1431 Annapolis Way",1963,95118,"R1-8","Almaden Elementary","San Jose Unified","482","356","John Muir Middle","341","Pioneer High","San Jose Unified","482","348","1431 Annapolis Way, San Jose, CA, 95118",37.252927,-121.890137,1
"$ 155.14",11,"9","Central San Jose",2,1,4,"Santa Clara",1,188,"$875,000","04/11/2017","5,640","ML81646434","472-41-016","San Jose","481.83","","","1,816","Active","660 Valley Oak Terrace",2006,95112,"R1","Lowell Elementary","San Jose Unified","482","370","Peter Burnett Middle","337","San Jose High Academy","San Jose Unified","482","349","660 Valley Oak Terrace, San Jose, CA, 95112",37.330308,-121.869664,1
"$ 257.32",57,"685","St. Francis Heights",2,0,3,"San Mateo",7,NA,"$874,900","03/16/2017","3,400","ML81642616","008-355-070","Daly City","688.90","03/23/2017","","1,270","Pending","424 Lakeshire Drive",1960,94015,"R10003","","Jefferson Elementary","693","","","","","Jefferson Union High","927","","424 Lakeshire Drive, Daly City, CA, 94015",37.673299,-122.483365,1
"$ 242.63",91,"999","Other Area",1,0,2,"San Francisco",14,NA,"$873,000","03/23/2017","3,598","ML81643667","2360-001c","San Francisco","671.54","04/06/2017","","1,300","Pending","2317 31 Street",1926,94116,"RH1","","San Francisco Unified","1,863","","","","","San Francisco Unified","1,863","","2317 31 Street, San Francisco, CA, 94116",37.751807,-122.489194,0.488
"$ 142.62",62,"14","Cambrian",2,0,3,"Santa Clara",9,NA,"$870,000","03/28/2017","6,100","ML81641156","419-06-021","San Jose","690.48","04/06/2017","","1,260","Pending","1878 Foxworthy Avenue",1955,95124,"R1-8","Sartorette Charter","Cambrian Elementary","453","47","Price Charter Middle","46","","Campbell Union High","473","","1878 Foxworthy Avenue, San Jose, CA, 95124",37.267409,-121.923151,1
"$ 140.31",59,"14","Cambrian",2,0,4,"Santa Clara",16,NA,"$869,950","03/22/2017","6,200","ML81643361","447-24-051","San Jose","705.56","04/07/2017","","1,233","Contingent","3563 Willowood Drive",1958,95118,"R1-8","Reed Elementary","San Jose Unified","482","373","John Muir Middle","341","Pioneer High","San Jose Unified","482","348","3563 Willowood Drive, San Jose, CA, 95118",37.266162,-121.898322,1
"$ 134.49",60,"8","Santa Clara",2,0,3,"Santa Clara",6,NA,"$869,900","04/06/2017","6,468","ML81645616","220-17-004","Santa Clara","554.43","","","1,569","Active","3534 Notre Dame Drive",1957,95051,"R1","","Santa Clara Unified","483","","","","","Santa Clara Unified","483","","3534 Notre Dame Drive, Santa Clara, CA, 95051",37.364944,-121.993651,0.878
"$ 144.83",55,"14","Cambrian",2,0,3,"Santa Clara",8,NA,"$869,000","03/21/2017","6,000","ML81643189","569-29-017","San Jose","731.48","03/29/2017","","1,188","Pending","1433 Gerlach Drive",1962,95118,"R1-8","","San Jose Unified","482","","","","","San Jose Unified","482","","1433 Gerlach Drive, San Jose, CA, 95118",37.258089,-121.891276,1
"$ 165.52",52,"605","Wave Crest Etc.",2,0,3,"San Mateo",2,NA,"$869,000","04/10/2017","5,250","ML81646214","064-251-500","Half Moon Bay","673.64","","","1,290","Active","450 Metzgar Street",1965,94019,"R100B1","","Cabrillo Unified","924","","","","","Cabrillo Unified","924","","450 Metzgar Street, Half Moon Bay, CA, 94019",37.455526,-122.435763,1
"$ 144.67",46,"5","Berryessa",2,0,3,"Santa Clara",8,NA,"$868,000","03/29/2017","6,000","ML81644302","245-22-009","San Jose","600.28","04/05/2017","","1,446","Pending","1963 Donohue Court",1971,95131,"A-PD","","Berryessa Union Elementary","452","","","","","East Side Union High","474","","1963 Donohue Court, San Jose, CA, 95131",37.38703,-121.876678,1
"$ 116.04",46,"12","Blossom Valley",2,1,4,"Santa Clara",11,NA,"$868,000","03/31/2017","7,480","ML81644695","695-12-016","San Jose","408.66","04/11/2017","","2,124","Pending","798 Sunset Glen Drive",1971,95123,"R1-8","Allen at Steinbeck","San Jose Unified","482","355","Castillero Middle","338","Gunderson High","San Jose Unified","482","345","798 Sunset Glen Drive, San Jose, CA, 95123",37.234809,-121.84977,1
"$ 296.61",22,"11","South San Jose",2,1,3,"Santa Clara",35,210,"$889,000","02/01/2017","2,923","ML81637504","462-63-030","San Jose","508.80","03/08/2017","$867,000","1,704","Sold","3717 Greymont Drive",1995,95136,"A-PD","","Franklin-McKinley Elementary","457","","","","","East Side Union High","474","","3717 Greymont Drive, San Jose, CA, 95136",37.277434,-121.852784,1
"$ 87.37",57,"1","Morgan Hill / Gilroy / San Martin",3,1,4,"Santa Clara",5,NA,"$865,000","04/07/2017","9,900","ML81645918","767-11-031","Morgan Hill","279.75","","","3,092","Active","345 Spring Avenue",1960,95037,"R1","","Morgan Hill Unified","480","","","","","Morgan Hill Unified","480","","345 Spring Avenue, Morgan Hill, CA, 95037",37.119929,-121.65381,1
"$ 143.40",64,"19","Sunnyvale",1,0,3,"Santa Clara",0,NA,"$899,000","04/10/2017","6,032","ML81646155","205-17-060","Sunnyvale","865.87","04/10/2017","$865,000","999","Sold","625 Johanna Avenue",1953,94085,"R0","","Sunnyvale","470","","","","","Fremont Union High","475","","625 Johanna Avenue, Sunnyvale, CA, 94085",37.389146,-122.012964,1
"$ 143.33",47,"6","Milpitas",2,0,3,"Santa Clara",7,NA,"$829,000","02/23/2017","6,000","ML81639853","086-14-067","Milpitas","689.66","03/02/2017","$860,000","1,247","Sold","1317 Moonlight Way",1970,95035,"R16","","Milpitas Unified","479","","","","","Milpitas Unified","479","","1317 Moonlight Way, Milpitas, CA, 95035",37.41266,-121.909886,1
"$ 79.63",66,"27","Alameda County",2,0,3,"Alameda",33,NA,"$860,000","03/03/2017","10,800","ML81640988","501-1403-008","Fremont","550.22","04/05/2017","","1,563","Pending","3071 Greenwood Drive",1951,94536,"27","","Fremont Unified","1,307","","","","","Fremont Unified","1,307","","3071 Greenwood Drive, Fremont, CA, 94536",37.561572,-121.998184,1
"$ 139.16",39,"12","Blossom Valley",2,1,4,"Santa Clara",6,NA,"$860,000","04/06/2017","6,180","ML81645811","462-53-034","San Jose","357.14","","","2,408","Active","4397 Stone Canyon Drive",1978,95136,"R1-8","","Oak Grove Elementary","467","","","","","East Side Union High","474","","4397 Stone Canyon Drive, San Jose, CA, 95136",37.271378,-121.833217,1
"$ 143.17",41,"3","Evergreen",2,1,4,"Santa Clara",50,NA,"$859,000","02/17/2017","6,000","ML81639373","673-21-019","San Jose","413.98","04/08/2017","","2,075","Pending","3224 EVERDALE Drive",1976,95148,"R1-8","Holly Oak Elementary","Evergreen Elementary","456","104","George V. LeyVa Intermediate","106","Silver Creek High","East Side Union High","474","253","3224 EVERDALE Drive, San Jose, CA, 95148",37.314517,-121.802593,1
"$ 127.43",53,"14","Cambrian",2,0,3,"Santa Clara",8,NA,"$859,000","03/16/2017","6,741","ML81642643","569-33-093","San Jose","697.24","03/24/2017","","1,232","Pending","1304 Bouret Drive",1964,95118,"R1-8","Almaden Elementary","San Jose Unified","482","356","John Muir Middle","341","Pioneer High","San Jose Unified","482","348","1304 Bouret Drive, San Jose, CA, 95118",37.257202,-121.886275,1
"$ 199.72",1,"1","Morgan Hill / Gilroy / San Martin",2,1,4,"Santa Clara",20,NA,"$859,000","03/17/2017","4,301","ML81642920","17-04-087","Morgan Hill","401.40","04/06/2017","","2,140","Pending","16085 Church Street",2016,95037,"R2","Barrett Elementary","Morgan Hill Unified","480","1,081","Martin Murphy Middle","306","Ann Sobrato High","Morgan Hill Unified","480","1,080","16085 Church Street, Morgan Hill, CA, 95037",37.114956,-121.641613,1
"$ 99.31",36,"6","Milpitas",2,0,2,"Santa Clara",8,NA,"$778,800","02/21/2017","8,640","ML81639587","088-33-110","Milpitas","722.83","03/01/2017","$858,000","1,187","Sold","901 Courtland Court",1981,95035,"R2","John Sinnott Elementary","Milpitas Unified","479","287","Rancho Milpitas Junior High","283","Milpitas High","Milpitas Unified","479","293","901 Courtland Court, Milpitas, CA, 95035",37.42257,-121.878275,1
"$ 138.35",40,"12","Blossom Valley",2,0,4,"Santa Clara",8,NA,"$849,800","03/02/2017","6,180","ML81640666","685-16-027","San Jose","410.27","03/09/2017","$855,000","2,084","Sold","4625 Park Milford Place",1977,95136,"R1-8P","","Oak Grove Elementary","467","","","","","East Side Union High","474","","4625 Park Milford Place, San Jose, CA, 95136",37.268614,-121.829419,1
"$ 169.98",43,"634","Moss Beach Heights",2,0,3,"San Mateo",168,NA,"$850,000","10/24/2016","5,001","ML81629567","037-065-180","Moss Beach","590.28","04/09/2017","","1,440","Contingent","668 Buena Vista Street",1973,94038,"R10006","","Cabrillo Unified","924","","","","","Cabrillo Unified","924","","668 Buena Vista Street, Moss Beach, CA, 94038",37.531693,-122.512827,0.958
"$ 141.67",43,"3","Evergreen",3,0,7,"Santa Clara",55,NA,"$848,888","01/12/2017","6,000","ML81635502","676-59-013","San Jose","350.52","03/07/2017","$850,000","2,425","Sold","1489 Meadow Glen Way",1974,95121,"R1B6","","Evergreen Elementary","456","","","","","East Side Union High","474","","1489 Meadow Glen Way, San Jose, CA, 95121",37.301934,-121.810838,1
"$ 141.67",51,"5","Berryessa",2,0,3,"Santa Clara",59,NA,"$850,000","02/09/2017","6,000","ML81638447","589-15-032","San Jose","674.60","04/09/2017","","1,260","Contingent","1419 Morrill Avenue",1966,95132,"R1-8","","Berryessa Union Elementary","452","","","","","East Side Union High","474","","1419 Morrill Avenue, San Jose, CA, 95132",37.398827,-121.862823,1
"$ 273.75",100,"690","'Original' Daly City",2,0,3,"San Mateo",15,NA,"$699,000","02/20/2017","3,105","ML81639522","004-182-060","Daly City","372.81","03/07/2017","$850,000","2,280","Sold","272 Templeton Avenue",1917,94014,"R10003","","Jefferson Elementary","693","","","","","Jefferson Union High","927","","272 Templeton Avenue, Daly City, CA, 94014",37.706521,-122.453427,1
"$ 58.02",79,"9","Central San Jose",1,1,4,"Santa Clara",9,NA,"$749,000","03/02/2017","14,650","ML81640739","467-05-041","San Jose","372.81","03/10/2017","$850,000","2,280","Sold","210 N 19th Street",1938,95112,"R2","","San Jose Unified","482","","","","","San Jose Unified","482","","210 N 19th Street, San Jose, CA, 95112",37.347832,-121.874714,0.935
"$ 154.55",46,"12","Blossom Valley",2,0,4,"Santa Clara",8,32,"$749,000","03/16/2017","5,500","ML81642596","462-48-091","San Jose","537.63","03/23/2017","$850,000","1,581","Sold","4191 Monet Circle",1971,95136,"R1-8P","Parkview Elementary","Oak Grove Elementary","467","189","Caroline Davis Intermediate","179","Andrew P. Hill High","East Side Union High","474","244","4191 Monet Circle, San Jose, CA, 95136",37.27072,-121.839394,1
"$ 170.00",70,"415","North Shoreview / Dore Cavanaugh",2,0,3,"San Mateo",13,NA,"$850,000","03/24/2017","5,000","ML81643788","033-181-350","San Mateo","643.94","04/05/2017","","1,320","Pending","112 Ottawa Street",1947,94401,"R106","","San Mateo-Foster City Elementary","938","","","","","San Mateo Union High","939","","112 Ottawa Street, San Mateo, CA, 94401",37.578258,-122.314848,1
"$ 151.79",62,"512","Rollingwood",2,0,3,"San Mateo",5,NA,"$850,000","04/07/2017","5,600","ML81645869","017-112-080","San Bruno","765.77","","","1,110","Active","2780 Cottonwood Drive",1955,94066,"R10006","","San Bruno Park Elementary","936","","","","","San Mateo Union High","939","","2780 Cottonwood Drive, San Bruno, CA, 94066",37.629338,-122.44723,0.878
"$ 176.42",52,"680","Serramonte",2,0,4,"San Mateo",3,NA,"$850,000","04/09/2017","4,818","ML81646062","091-171-420","Daly City","505.95","","","1,680","Active","180 Canterbury Avenue",1965,94015,"R10003","","South San Francisco Unified","941","","","","","South San Francisco Unified","941","","180 Canterbury Avenue, Daly City, CA, 94015",37.651735,-122.470271,1
"$ 125.28",49,"12","Blossom Valley",2,0,4,"Santa Clara",5,NA,"$849,999","04/01/2017","6,785","ML81644936","695-25-010","San Jose","568.56","04/05/2017","","1,495","Pending","642 Choctaw Drive",1968,95123,"R1-8","","Oak Grove Elementary","467","","","","","East Side Union High","474","","642 Choctaw Drive, San Jose, CA, 95123",37.233618,-121.83336,1
"$ 215.19",78,"504","Huntington Park",1,0,2,"San Mateo",21,NA,"$849,998","03/15/2017","3,950","ML81642436","020-291-120","San Bruno","1,000.00","","","850","Withdrawn","864 Crystal Springs Road",1939,94066,"R10006","","San Bruno Park Elementary","936","","","","","San Mateo Union High","939","","864 Crystal Springs Road, San Bruno, CA, 94066",37.61898,-122.412442,1
"$ 85.00",45,"27","Alameda County",2,0,3,"Alameda",5,NA,"$849,995","04/05/2017","10,000","ML81645451","097-0146-029","Livermore","491.90","04/08/2017","","1,728","Pending","1198 Killarney Street",1972,94550,"R-1","","Livermore Valley Joint Unified","1,512","","","","","Livermore Valley Joint Unified","1,512","","1198 Killarney Street, Livermore, CA, 94550",37.667946,-121.768722,1
"$ 154.54",47,"12","Blossom Valley",3,0,4,"Santa Clara",8,NA,"$849,950","03/29/2017","5,500","ML81644275","462-39-002","San Jose","484.30","04/05/2017","","1,755","Pending","355 Grandpark Circle",1970,95136,"R1-8P","Parkview Elementary","Oak Grove Elementary","467","189","Caroline Davis Intermediate","179","Andrew P. Hill High","East Side Union High","474","244","355 Grandpark Circle, San Jose, CA, 95136",37.269038,-121.846829,1
"$ 283.32",56,"682","Westlake Terrace",1,0,3,"San Mateo",4,NA,"$849,950","04/06/2017","3,000","ML81645771","008-183-380","Daly City","809.48","04/07/2017","","1,050","Contingent","40 Oceanside Drive",1961,94015,"R10003","","Jefferson Elementary","693","","","","","Jefferson Union High","927","","40 Oceanside Drive, Daly City, CA, 94015",37.673485,-122.4906,1
"$ 169.99",63,"27","Alameda County",2,0,4,"Alameda",4,NA,"$849,950","04/08/2017","5,000","ML81646035","525-0716-069","Fremont","500.85","","","1,697","Active","3594 Eugene Street",1954,94538,"1001","","Fremont Unified","1,307","","","","","Fremont Unified","1,307","","3594 Eugene Street, Fremont, CA, 94538",37.538913,-121.964821,0.878
"$ 137.08",56,"27","Alameda County",2,0,3,"Alameda",9,40,"$849,900","03/29/2017","6,200","ML81644389","501-1533-046","Fremont","681.01","04/06/2017","","1,248","Pending","37998 Inez Avenue",1961,94536,"RES","","Fremont Unified","1,307","","","","","Fremont Unified","1,307","","37998 Inez Avenue, Fremont, CA, 94536",37.560427,-121.986548,1
"$ 149.11",65,"10","Willow Glen",2,0,3,"Santa Clara",0,NA,"$849,900","04/12/2017","5,700","ML81646513","442-35-051","San Jose","774.04","","","1,098","Active","2818 Rustic Drive",1952,95124,"R1-8","Fammatre Charter","Cambrian Elementary","453","43","Price Charter Middle","46","Branham High","Campbell Union High","473","237","2818 Rustic Drive, San Jose, CA, 95124",37.270574,-121.921915,1
"$ 107.58",48,"27","Alameda County",3,0,4,"Alameda",0,NA,"$849,888","03/19/2017","7,900","ML81639215","092A-0726-042","Newark","432.29","","","1,966","Withdrawn","35194 Millwood Court",1969,94560,"x","John F. Kennedy Elementary","Newark Unified","1,654","27,029","Newark Junior High","27,035","Newark Memorial High","Newark Unified","1,654","27,017","35194 Millwood Court, Newark, CA, 94560",37.55696,-122.041103,1
"$ 146.59",58,"14","Cambrian",1,1,3,"Santa Clara",1,NA,"$849,888","04/06/2017","5,798","ML81645739","419-20-077","San Jose","737.75","04/07/2017","","1,152","Pending","1814 Lencar Way",1959,95124,"R1-8","Oster Elementary","Union Elementary","471","226","Dartmouth Middle","218","Leigh High","Campbell Union High","473","240","1814 Lencar Way, San Jose, CA, 95124",37.255432,-121.917148,1
"$ 141.65",55,"6","Milpitas",2,0,3,"Santa Clara",1,NA,"$849,888","04/11/2017","6,000","ML81646317","029-12-011","Milpitas","741.61","","","1,146","Active","1113 Parkview Drive",1962,95035,"R1","William Burnett Elementary","Milpitas Unified","479","279","Rancho Milpitas Junior High","283","Milpitas High","Milpitas Unified","479","293","1113 Parkview Drive, Milpitas, CA, 95035",37.441086,-121.888119,0.976
"$ 150.27",46,"322","East of U.S. 101 East Palo Alto",2,0,5,"San Mateo",11,NA,"$849,000","03/09/2017","5,650","ML81641727","063-173-040","East Palo Alto","474.30","03/18/2017","$849,000","1,790","Sold","2258 Oakwood Drive",1971,94303,"R10006","","Ravenswood City Elementary","934","","","","","Sequoia Union High","940","","2258 Oakwood Drive, East Palo Alto, CA, 94303",37.467617,-122.147205,1
"$ 162.89",38,"27","Alameda County",2,0,4,"Alameda",7,NA,"$849,000","04/05/2017","5,212","ML81645440","483-0118-016","Union City","509.60","","","1,666","Active","4304 Lisa Drive",1979,94587,"R","Alvarado Elementary","New Haven Unified","1,650","27,046","","","James Logan High","New Haven Unified","1,650","27,044","4304 Lisa Drive, Union City, CA, 94587",37.586645,-122.073192,1
"$ 141.50",46,"6","Milpitas",2,0,3,"Santa Clara",6,NA,"$849,000","04/06/2017","6,000","ML81645611","026-21-033","Milpitas","658.14","","","1,290","Active","831 Horcajo Street",1971,95035,"R1","","Milpitas Unified","479","","","","","Milpitas Unified","479","","831 Horcajo Street, Milpitas, CA, 95035",37.448421,-121.895783,1
"$ 169.80",117,"331","Lenolt Etc.",2,0,3,"San Mateo",6,NA,"$849,000","04/06/2017","5,000","ML81645744","052-253-090","Redwood City","514.55","","","1,650","Active","1200 Arguello Street",1900,94063,"R2","","Redwood City Elementary","935","","","","","Sequoia Union High","940","","1200 Arguello Street, Redwood City, CA, 94063",37.491057,-122.237939,1
"$ 81.63",66,"5","Berryessa",2,0,4,"Santa Clara",5,NA,"$849,000","04/07/2017","10,400","ML81645875","599-18-086","San Jose","355.83","04/11/2017","","2,386","Pending","4067 Golf Drive",1951,95127,"R1-6","","Alum Rock Union Elementary","451","","","","","East Side Union High","474","","4067 Golf Drive, San Jose, CA, 95127",37.388407,-121.825918,1
"$ 120.35",57,"27","Alameda County",2,0,3,"Alameda",5,145,"$848,950","04/07/2017","7,054","ML81645840","501-0818-139","Fremont","643.14","","","1,320","Active","38427 Granville Drive",1960,94536,"1001","","Fremont Unified","1,307","","","","","Fremont Unified","1,307","","38427 Granville Drive, Fremont, CA, 94536",37.535224,-122.010471,0.878
"$ 267.96",44,"680","Serramonte",2,0,3,"San Mateo",6,NA,"$848,888","04/06/2017","3,168","ML81645704","091-313-570","Daly City","619.63","","","1,370","Active","27 Morton Drive",1973,94015,"R10003","Margaret Pauline Brown Elementary","Jefferson Elementary","693","703","","","","South San Francisco Unified","941","","27 Morton Drive, Daly City, CA, 94015",37.66233,-122.474521,1
"$ 113.91",66,"322","East of U.S. 101 East Palo Alto",1,0,3,"San Mateo",6,NA,"$848,888","04/06/2017","7,452","ML81645778","063-415-090","East Palo Alto","540.69","","","1,570","Active","243 Azalia Drive",1951,94303,"R10006","","Ravenswood City Elementary","934","","","","","Sequoia Union High","940","","243 Azalia Drive, East Palo Alto, CA, 94303",37.459338,-122.129035,1
"$ 134.60",53,"14","Cambrian",2,0,3,"Santa Clara",14,NA,"$848,000","03/28/2017","6,300","ML81644141","569-33-038","San Jose","688.31","04/10/2017","","1,232","Pending","5098 Jarvis Avenue",1964,95118,"R1-8","Almaden Elementary","San Jose Unified","482","356","John Muir Middle","341","Pioneer High","San Jose Unified","482","348","5098 Jarvis Avenue, San Jose, CA, 95118",37.254396,-121.886155,1
"$ 220.26",40,"15","Campbell",2,0,2,"Santa Clara",7,NA,"$848,000","03/30/2017","3,850","ML81644591","307-38-022","Campbell","629.55","04/05/2017","","1,347","Pending","602 Lisa Way",1977,95008,"P-D","George C. Payne Elementary","Moreland Elementary","464","158","Moreland Middle","35,652","Prospect High","Campbell Union High","473","241","602 Lisa Way, Campbell, CA, 95008",37.296002,-121.961819,1
"$ 149.74",54,"14","Cambrian",2,0,4,"Santa Clara",4,NA,"$848,000","04/08/2017","5,663","ML81646033","569-31-026","San Jose","455.42","","","1,862","Active","1407 Annapolis Way",1963,95118,"R1-8","Almaden Elementary","San Jose Unified","482","356","John Muir Middle","341","Pioneer High","San Jose Unified","482","348","1407 Annapolis Way, San Jose, CA, 95118",37.253129,-121.889016,1
"$ 339.20",32,"13","Almaden Valley",2,0,3,"Santa Clara",3,57,"$848,000","04/09/2017","2,500","ML81646075","742-36-135","San Jose","693.94","","","1,222","Active","7240 Wild Creek Drive",1985,95120,"A-PD","","San Jose Unified","482","","","","","San Jose Unified","482","","7240 Wild Creek Drive, San Jose, CA, 95120",37.199403,-121.828818,1
"$ 137.06",52,"14","Cambrian",2,0,3,"Santa Clara",33,NA,"$847,000","03/01/2017","6,180","ML81640532","569-34-015","San Jose","687.50","04/10/2017","","1,232","Pending","4964 Wayland Avenue",1965,95118,"R1-8","","San Jose Unified","482","","","","","San Jose Unified","482","","4964 Wayland Avenue, San Jose, CA, 95118",37.256524,-121.883277,1
"$ 160.57",94,"606","East of Highway 1 / Spanish Town",2,0,3,"San Mateo",62,NA,"$843,000","01/08/2017","5,250","ML81635025","056-162-070","Half Moon Bay","624.44","03/10/2017","","1,350","Pending","417 Church Street",1923,94019,"CH00C2","","Cabrillo Unified","924","","","","","Cabrillo Unified","924","","417 Church Street, Half Moon Bay, CA, 94019",37.464653,-122.430897,1
